coin,symbol,cmc_id
Bitcoin,BTC
Ethereum,ETH
PAX Gold,PAXG
Harmony,ONE
Orchid,OXT
Helium,HNT
Decentraland,MANA
Band Protocol,BAND
DAI,DAI
Solana,SOL
MIOTA,IOTA
Maker,MKR
Storj,STORJ
BNB,BNB
Bitcoin Cash,BCH
BUSD,BUSD
Basic Attention Token,BAT
Tezos,XTZ
Algorand,ALGO
Cosmos,ATOM
ChainLink,LINK
VeChain,VET
Ox,ZRX
Cardano,ADA
Stellar Lumens,XLM
Enjin Coin,ENJ
Zilliqa,ZIL
Ravencoin,RVN
Hedera Hashgraph,HBAR
Matic Network,MATIC
Augur v2,REP
OMG Network,OMG
NANO,NANO
Litecoin,LTC
TetherUS,USDT
Dogecoin,DOGE
Waves,WAVES
NEO,NEO
KyberNetwork,KNC
VeThor Token,VTHO
EOS,EOS
QTUM,QTUM
Compound,COMP
ICON,ICX
Uniswap,UNI
Elrond,EGLD
